Lambda1,Lambda2,PSNR,SSIM,RMSE,RE,EPI,Iterations
0.8,0.2,29.46053667152279,0.8007863636703173,0.03364907781146295,0.13867130983947853,0.9698882901757445,34
0.8,0.35,30.359299501812366,0.8434846058760681,0.03034135870814143,0.1250398592776327,0.9763490050395284,40
0.8,0.5,30.492400686730203,0.8738622277283211,0.029879956828636343,0.1231383746856368,0.97915138206009,62
0.8,0.7,30.013305594983414,0.8911119248623341,0.03157437191702271,0.13012123350378454,0.9788379908925257,80
1.2,0.2,30.138176005358165,0.8262512493946663,0.03112369851040043,0.1282639620517615,0.9759784295606377,35
1.2,0.35,30.374274475324633,0.8377210542652572,0.030289093526957005,0.1248244690914751,0.9765877770674437,53
1.2,0.5,30.7257732719372,0.8646834264371095,0.029087830872771815,0.11987394216617668,0.9794498810060358,54
1.2,0.7,30.61107479854669,0.886368711453909,0.029474487345068173,0.12146739324889796,0.9806231871009267,80
1.6,0.2,30.386703347613413,0.8369117513383046,0.030245783045652782,0.1246459821443473,0.9781642392747838,35
1.6,0.35,31.109078296216634,0.8713907517823769,0.027832106987800913,0.11469897490849117,0.982091994424309,41
1.6,0.5,31.308586400212867,0.895390411737187,0.027200111228857553,0.11209445539693964,0.9839035919251986,41
1.6,0.7,31.002924084375604,0.9114083944942487,0.028174342889486736,0.11610936425190137,0.9840210370630698,50
2.0,0.2,30.642812760886024,0.8486346272432147,0.029366985037621272,0.1210243651853072,0.9801221914135614,40
2.0,0.35,31.268407024834005,0.8778750344030587,0.02732622555556044,0.11261418550578248,0.9831859835395775,44
2.0,0.5,31.486158088897675,0.8990925398137533,0.026649685953261504,0.10982609623526128,0.9847641947447489,40
2.0,0.7,31.26360267186927,0.9147639007545639,0.027341344461414296,0.11267649207150296,0.9850436542334439,46
